R01_563_seroInc3,R01_563_seroInc4,R01_563_seroInc5,R01_563_seroInc6,R01_563_seroInc1,R01_563_seroInc2,R01_563_seroInc7,R01_563_THFinalRound
0.9454316109289049,0.8909549545228123,0.7475273543212922,0.534521817742257,0.9985714285714286,0.9893116927110828,0.41196199901193903,4.687188852394257E-4
0.9671633878840208,0.872872941295539,0.6923204393199944,0.5015638488646079,1.0,0.98850594429443,0.4193317850782772,2.793399418146704E-4
0.9285076684842336,0.8166778105828845,0.6677090418334805,0.5026235496336795,1.0,0.9828752432188228,0.36376047575518256,2.798644208075133E-4
0.8908540796597748,0.7785851580774781,0.5627661757683922,0.42651524468368357,0.9932292455688533,0.9767859000833686,0.3212264685490796,5.614647580992894E-4
0.9328695200137375,0.8215212839344442,0.6633439595634718,0.5215016014478676,1.0,0.9908785162206215,0.3974079187076041,6.516237223518365E-4
0.903284159397671,0.8037710896083763,0.6168300785107742,0.4969651013057078,0.995333284767247,0.9877766489275924,0.3548584644885491,9.327177898593245E-4
0.9554755972285436,0.8796220548873788,0.7434560019934671,0.5150764268411326,0.997435064935065,0.9924186144911991,0.3956079246074623,9.285116549046584E-4
0.9105547386649775,0.8663308187654831,0.7282409078562382,0.475661115035487,0.9984375,0.9866860701890484,0.4022359777606274,4.64346843645658E-4
0.9044722516673582,0.842849724024266,0.6584114044495961,0.4651247848269861,1.0,0.9787718080509284,0.3895578099357258,0.0011192623420517103
0.8856676140175062,0.7910715540488293,0.6058080596862536,0.4179870059573008,0.99492389331099,0.9851741607495711,0.37092070159229673,7.479105593992501E-4
0.943031049444093,0.9134529972559067,0.7350125813568495,0.5679566116038224,1.0,0.9909662457640398,0.3719894513177533,0.0013004415308719651
0.9249720215074957,0.8289000080659517,0.6836463121280889,0.4413904347561508,1.0,0.9896098876356232,0.3284108687931363,9.328670738386498E-4
0.9552756230651764,0.8742266281083854,0.7342463492271676,0.5278218129329637,1.0,0.9896994233836338,0.4088052826566213,0.0013942811429784002
0.9217905885802015,0.832151099549441,0.6363547396801807,0.504875453326504,0.9966356107660456,0.9941063348416289,0.3703404790116346,0.0010257842913393499
0.9310544282552395,0.8116243495352583,0.6610533972273773,0.4379529422062194,0.99875,0.9759201388186856,0.3164713314356264,0.001309946458337053
0.9112986084298393,0.7995040130026316,0.614229410936011,0.479651564962968,1.0,0.9820354918097376,0.3849758538996764,0.0014939479149446671
