R01_563_seroInc3,R01_563_seroInc4,R01_563_seroInc5,R01_563_seroInc6,R01_563_seroInc1,R01_563_seroInc2,R01_563_seroInc7,R01_563_THFinalRound
0.9397656845020028,0.8418455236364679,0.607121164792204,0.5017169647745559,1.0,0.9895570891489024,0.4080165015292498,0.0011217168388776412
0.9450375741694526,0.8477949921373439,0.7201033127544705,0.5665029825095007,1.0,0.9989795918367348,0.4189640904951383,0.0013042582718058207
0.9570858204279886,0.9005076625791018,0.7188923267727616,0.49106685788460525,0.9974483204134366,0.9946045918367347,0.4350374441251204,9.311329914555141E-4
0.9675447700447701,0.8651477841655,0.7215796917821454,0.5033660140986991,0.9987179487179487,0.9840208966770116,0.42990536969109333,9.390102492889228E-4
0.9253124830282096,0.8466416972964541,0.6425293488324544,0.4458733059652924,1.0,0.9824965893776998,0.32216386609606196,3.729612653071509E-4
0.9436334512944683,0.8435893581973429,0.668521880820186,0.415068111066888,1.0,0.9935457338201241,0.3846302447683483,1.8640122298658885E-4
0.9614760697538633,0.9113257606501313,0.7982755446127857,0.5836467471194469,0.998076923076923,0.9982142857142857,0.4140797859722084,0.001298774350028743
0.9560188667541609,0.8798762678548744,0.6854180424209037,0.49153863972285017,0.9985294117647058,0.9912798010289368,0.4510606848845643,9.324916357280478E-4
0.9358711869623487,0.8677580953588245,0.7490561111307271,0.5234813248364212,1.0,0.9967741935483871,0.3767704773663212,0.0011202950577975349
0.9306772477306238,0.8428882272263024,0.7061849895055912,0.47275587785431233,1.0,0.9884456411298516,0.4091040761651542,0.0010228554792413073
0.9263605116416571,0.8026057544539503,0.6107919881750725,0.4922031005936397,1.0,0.9842233918600378,0.4380964865850113,0.001122731577227575
0.9459437691834799,0.8791956695146304,0.7124166448174301,0.532560836258087,0.996437198067633,0.9921443343751865,0.4648469980530848,0.0011215188630889134
0.8950758452695071,0.8263785038689486,0.6155797211856995,0.41962103036230436,1.0,0.9896987394157206,0.3456674270812451,3.7245052233732116E-4
0.9050153226664219,0.7803431807401395,0.6065594497870204,0.440461135898434,0.9958489614841703,0.9743667098882568,0.36499685812930727,3.736684577253394E-4
0.9463972983056188,0.9116073849175519,0.7693806297196739,0.5436345198940125,0.9988372093023254,0.9882943940022872,0.41695037904534954,8.434441406663547E-4
0.9476496659227154,0.856301882857401,0.7104280372109782,0.5434666495708786,1.0,0.9834460851500493,0.4067637307631234,0.0011182056648447957
